Jurisdiction,Year,Age_Group,Licence_Holders
VIC,2019,0-16,55009.75
VIC,2019,17-25,620295.65
VIC,2019,26-39,1301618.6
VIC,2019,40-64,1914800.5
VIC,2019,65+,856814.5
VIC,2020,0-16,49252.0
VIC,2020,17-25,601488.2
VIC,2020,26-39,1325439.8
VIC,2020,40-64,1938344.0
VIC,2020,65+,893182.0
VIC,2021,0-16,54182.75
VIC,2021,17-25,617462.45
VIC,2021,26-39,1342795.8
VIC,2021,40-64,1953661.5
VIC,2021,65+,927040.5
VIC,2022,0-16,56915.25
VIC,2022,17-25,624344.35
VIC,2022,26-39,1351595.4
VIC,2022,40-64,1976431.0
VIC,2022,65+,959550.0
VIC,2023,0-16,60789.0
VIC,2023,17-25,648872.2
VIC,2023,26-39,1383733.8
VIC,2023,40-64,2011328.5
VIC,2023,65+,993187.5
VIC,2024,0-16,63983.0
VIC,2024,17-25,679600.8
VIC,2024,26-39,1434223.2
VIC,2024,40-64,2053555.0
VIC,2024,65+,1029046.0
WA,2010,0-16,12139.0
WA,2010,17-25,199532.6
WA,2010,26-39,427588.4
WA,2010,40-64,697864.5
WA,2010,65+,229340.5
WA,2011,0-16,11675.75
WA,2011,17-25,201709.45
WA,2011,26-39,435489.8
WA,2011,40-64,716894.0
WA,2011,65+,240024.0
WA,2012,0-16,10909.25
WA,2012,17-25,195289.15
WA,2012,26-39,436593.6
WA,2012,40-64,729484.5
WA,2012,65+,250949.5
WA,2013,0-16,25516.25
WA,2013,17-25,280958.75
WA,2013,26-39,508944.0
WA,2013,40-64,774570.5
WA,2013,65+,264456.5
WA,2014,0-16,25603.25
WA,2014,17-25,280294.55
WA,2014,26-39,525075.2
WA,2014,40-64,787988.5
WA,2014,65+,277598.5
WA,2015,0-16,25846.5
WA,2015,17-25,278624.3
WA,2015,26-39,535700.2
WA,2015,40-64,797417.0
WA,2015,65+,290842.0
WA,2016,0-16,26237.25
WA,2016,17-25,276478.55
WA,2016,26-39,540868.2
WA,2016,40-64,804178.0
WA,2016,65+,305117.0
WA,2017,0-16,26120.5
WA,2017,17-25,272457.3
WA,2017,26-39,539158.2
WA,2017,40-64,805764.0
WA,2017,65+,321531.0
WA,2018,0-16,26271.0
WA,2018,17-25,269837.2
WA,2018,26-39,535164.8
WA,2018,40-64,808466.5
WA,2018,65+,338035.5
WA,2019,0-16,26002.75
WA,2019,17-25,268801.85
WA,2019,26-39,534417.4
WA,2019,40-64,812244.0
WA,2019,65+,350914.0
WA,2020,0-16,26095.0
WA,2020,17-25,268730.6
WA,2020,26-39,536655.4
WA,2020,40-64,818480.5
WA,2020,65+,363374.5
WA,2021,0-16,26095.0
WA,2021,17-25,268713.0
WA,2021,26-39,538858.0
WA,2021,40-64,827050.0
WA,2021,65+,375566.0
WA,2022,0-16,27354.0
WA,2022,17-25,274448.0
WA,2022,26-39,545243.0
WA,2022,40-64,840404.0
WA,2022,65+,390814.0
WA,2023,0-16,28520.0
WA,2023,17-25,282053.8
WA,2023,26-39,558293.2
WA,2023,40-64,856087.5
WA,2023,65+,407302.5
WA,2024,0-16,29886.25
WA,2024,17-25,292292.35
WA,2024,26-39,576363.4
WA,2024,40-64,873442.5
WA,2024,65+,422831.5
